VIN,CarYear,Color,VehBody,EngineType,Make,Miles,Odometer,Brand,VehType,LocationNum,CarType,EngineLiters,FuelType,Transmission,SaleLoc,PurchVal
3GNDA13D28S584870,2008,Tan,SUV,4 Cylinder,HHR LS                   ,82792,Accurate,CHEVROLET,Truck,199,Mid-size,2.2L,Gasoline,Automatic,199,5800
2G1WT58N179145328,2007,Silver,4 Door,6 Cylinder,IMPALA LT                ,1207900,Accurate,CHEVROLET,Passenger,61,Full-size,3.5L,Gasoline,Automatic,61,5800
3C4FY48B04T300551,2004,Purple,Van,4 Cylinder,PT CRUISER               ,96127,Accurate,CHRYSLER,Truck,382,Mid-size,2.4L,Gasoline,5-Speed,382,3375
1MEFM55S65A612533,2005,White,4 Door,6 Cylinder,SABLE                    ,87370,Accurate,MERCURY,Passenger,302,Mid-size,3.0L,Gasoline,Automatic,302,4500
3A4FY58B96T361528,2006,Silver,Van,4 Cylinder,PT CRUISER TOURINGEDITION,108803.6667,Accurate,CHRYSLER,Truck,412,Mid-size,2.4L,Gasoline,Automatic,412,10205
1GKES16S446238598,2004,Silver,SUV,6 Cylinder,ENVOY XL                 ,133528,Accurate,GMC,Truck,465,SUV,4.2L,Gasoline,Automatic,465,5400
1FAFP56U16A156277,2006,Gray,4 Door,6 Cylinder,TAURUS SEL               ,116124.2,Accurate,FORD,Passenger,76,Mid-size,3.0L,Gasoline,Automatic,76,3800
1FADP3K23EL111280,2014,Gray,2 Door,4 Cylinder,FOCUS                    ,107021,Accurate,FORD,Passenger,300,Compact,2.0L,Gasoline,Automatic,300,5400
1FAFP53U36A241996,2006,SILVER,4 Door,6 Cylinder,TAURUS SE                ,113003.3333,Accurate,FORD,Passenger,119,Mid-size,3.0L,Gasoline,Automatic,119,3900
1G2NV12E73C124439,2003,Black,2 Door,6 Cylinder,GRAND AM GT1             ,68165,Accurate,PONTIAC,Passenger,302,Mid-size,3.4L,Gasoline,Automatic,302,6000
2G2WP552161106813,2006,White,4 Door,6 Cylinder,GRAND PRIX               ,108735,Accurate,PONTIAC,Passenger,291,Full-size,3.8L,Gasoline,Automatic,291,5635
2G2WP522541312590,2004,White,4 Door,6 Cylinder,GRAND PRIX GT            ,111334,Accurate,PONTIAC,Passenger,404,Full-size,3.8L,Gasoline,Automatic,404,4500
2G1WB5EK9A1145404,2010,White,4 Door,6 Cylinder,IMPALA LT                ,103241,Accurate,CHEVROLET,Passenger,87,Full-size,3.5L,Flex - Fuel,Automatic,87,6500
1G1PC5SH7C7322578,2012,BLUE,4 Door,4 Cylinder,CRUZE,98189,Accurate,CHEVROLET,Passenger,385,Compact,1.8L,Gasoline,Automatic,385,6930
1GNDT13SX22432010,2002,White,SUV,6 Cylinder,TRAILBLAZER              ,122388,Accurate,CHEVROLET,Truck,117,SUV,4.2L,Gasoline,Automatic,117,5600
1G1ZT52815F293306,2005,Gray,4 Door,6 Cylinder,MALIBU LS                ,73024,Accurate,CHEVROLET,Passenger,292,Mid-size,3.5L,Gasoline,Automatic,292,4945
1FAFP38ZX4W155853,2004,Green,4 Door,4 Cylinder,FOCUS ZTS                ,105794,Accurate,FORD,Passenger,362,Compact,2.3L,Gasoline,Automatic,362,3790
3GNBAADB3AS637764,2010,Silver,SUV,4 Cylinder,HHR LS                   ,98808,Accurate,CHEVROLET,Truck,250,Mid-size,2.2L,Flex - Fuel,Automatic,250,3140
1GNDT13S242135929,2004,Tan,SUV,6 Cylinder,TRAILBLAZER LS/LT        ,109003,Accurate,CHEVROLET,Truck,87,SUV,4.2L,Gasoline,Automatic,87,6200
3FAFP31N35R100348,2005,Grey,2 Door,4 Cylinder,FOCUS ZX3                ,91778,Accurate,FORD,Passenger,355,Compact,2.0L,Gasoline,Automatic,355,3600
1G2ZG58N274141708,2007,Silver,4 Door,6 Cylinder,G6                       ,60300,Accurate,PONTIAC,Passenger,364,Mid-size,3.5L,Gasoline,Automatic,364,4700
2D4FV47V87H824034,2007,Silver,SUV,6 Cylinder,MAGNUM SXT               ,118970,Accurate,DODGE,Truck,149,Full-size,3.5L,Gasoline,Automatic,149,6000
1G2ZM551264176998,2006,Green,4 Door,6 Cylinder,G6                       ,124447,Accurate,PONTIAC,Passenger,362,Mid-size,3.9L,Gasoline,Automatic,362,3520
2G2WP552171175003,2007,Silver,4 Door,6 Cylinder,GRAND PRIX               ,103138,Accurate,PONTIAC,Passenger,225,Full-size,3.8L,Gasoline,Automatic,225,4000
3GNDA23D67S535806,2007,Gold,SUV,4 Cylinder,HHR LT                   ,94914,Accurate,CHEVROLET,Truck,366,Mid-size,2.2L,Gasoline,Automatic,366,6195
2A8HR54PX8R719392,2008,Blue,Van,6 Cylinder,TOWN & COUNTRY TOURING ED,104914,Accurate,CHRYSLER,Truck,332,Van,3.8L,Gasoline,Automatic,332,6100
1D7HA16N96J220058,2006,White,Truck,8 Cylinder,RAM 1500 ST/SLT          ,83458,Accurate,DODGE,Truck,409,Full-Size Truck,4.7L,Gasoline,Automatic,409,6230
1C3EL46X86N197587,2006,BLUE,4 Door,4 Cylinder,SEBRING                  ,89433,Accurate,CHRYSLER,Passenger,76,Mid-size,2.4L,Gasoline,Automatic,76,4990
1FAHP35N78W249821,2008,Black,4 Door,4 Cylinder,FOCUS                    ,133573,Accurate,FORD,Passenger,439,Compact,2.0L,Gasoline,Automatic,439,2600
2CNDL23F366207191,2006,Gray,SUV,6 Cylinder,EQUINOX LS               ,116767,Accurate,CHEVROLET,Truck,382,SUV,3.4L,Gasoline,Automatic,382,5500
1G1ZS52804F140952,2004,White,4 Door,6 Cylinder,MALIBU                   ,123306.6667,Accurate,CHEVROLET,Passenger,441,Mid-size,3.5L,Gasoline,Automatic,441,4170
1N4AL2AP1CC237737,2012,BLACK,4 Door,4 Cylinder,ALTIMA,128663,Accurate,NISSAN,Passenger,404,Mid-size,2.5L,Gasoline,Automatic,404,6200
2D4GP44R03R307840,2003,Blue,Van,6 Cylinder,GRAND CARAVAN SPORT      ,89781,Accurate,DODGE,Truck,149,Van,3.3L,Gasoline,Automatic,149,5100
1MEFM55S54A608648,2004,Beige,4 Door,6 Cylinder,SABLE LS PREMIUM         ,117398,Accurate,MERCURY,Passenger,149,Mid-size,3.0L,Gasoline,Automatic,149,3900
KNAFU4A25A5208981,2010,White,4 Door,4 Cylinder,FORTE EX                 ,119403,Accurate,KIA,Passenger,494,Compact,2.0L,Gasoline,Automatic,494,5895
1C3CDZAB3EN109234,2014,White,4 Door,4 Cylinder,AVENGER                  ,105032,Accurate,DODGE,Passenger,34,Mid-size,2.4L,Gasoline,Automatic,34,6100
KNAFG526587161853,2008,Blue,4 Door,6 Cylinder,RONDO LX/EX              ,83175,Accurate,KIA,Passenger,302,Van,2.7L,Gasoline,Automatic,302,6550
1D4GP44R13B231950,2003,Silver,Van,6 Cylinder,GRAND CARAVAN SPORT      ,123109,Accurate,DODGE,Truck,348,Van,3.3L,Gasoline,Automatic,348,2200
2CNDL63FX76250323,2007,Black,SUV,6 Cylinder,EQUINOX LT               ,112218.6667,Accurate,CHEVROLET,Truck,386,SUV,3.4L,Gasoline,Automatic,386,5300
1C3LC46K97N512166,2007,Red,4 Door,4 Cylinder,SEBRING                  ,94775,Accurate,CHRYSLER,Passenger,404,Mid-size,2.4L,Gasoline,Automatic,404,5500
1G8AJ55F27Z148789,2007,Maroon,4 Door,4 Cylinder,ION LEVEL 2              ,50878,Accurate,SATURN,Passenger,374,Compact,2.2L,Gasoline,Automatic,374,5520
1G1ZT58F37F114188,2007,Blue,4 Door,4 Cylinder,MALIBU                   ,133590,Accurate,CHEVROLET,Passenger,421,Mid-size,2.2L,Gasoline,Automatic,421,3195
